1January2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
6August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
7August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
8August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
9August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
10August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
11August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
12August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
13August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
14August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
15August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
16August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
17August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
18August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
19August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
20August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
21August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
22August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
23August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
24August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
25August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
26August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
27August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
28August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
29August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
30August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
31August2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
1September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
2September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
3September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
4September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
5September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
6September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
7September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
8September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
9September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
10September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
11September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
12September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
13September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
14September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
15September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
16September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
17September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
18September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
19September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
20September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
21September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
22September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
23September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
24September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
25September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
26September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
27September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
28September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
29September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
30September2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
1October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
2October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
3October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
4October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
5October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
6October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
7October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
8October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
9October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
10October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
11October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
12October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
13October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
14October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
15October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
16October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
17October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
18October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
19October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
20October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
21October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
22October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
23October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
24October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
25October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
26October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
27October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
28October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
29October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
30October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
31October2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
1November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
2November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
3November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
4November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
5November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
6November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
7November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
8November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
9November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
10November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
11November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
12November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
13November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
14November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
15November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
16November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
17November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
18November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
19November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
20November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
21November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
22November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
23November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
24November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
25November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
26November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
27November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
28November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
29November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
30November2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
1December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
2December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
3December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
4December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
5December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
6December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
7December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
8December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
9December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
10December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
11December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
12December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
13December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
14December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
15December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
16December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
17December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
18December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
19December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
20December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
21December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
22December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
23December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
24December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
25December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
26December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
27December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
28December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
29December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
30December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
31December2023 | Annual Leave: 0 | Compassionate Leave: 0 | Emergency Leave: 0 | Maternity Leave: 0 | Medical Leave: 0
